X,y
1.541629043,730.044365
0.4737411179,227.8319849
0.761246587,217.3357935
0.4119763684,393.7398077
0.2606359762,-212.8254722
1.976027924,850.3311682
0.524225944,-42.73920119
0.2817372079,275.7492775
1.694775861,537.3926593
1.812509161,499.27174
1.464438413,286.3986519
0.08155028311,135.1456123
0.4838633606,29.17049531
1.245908088,409.2884747
1.898138787,608.9534846
0.9192295035,167.1061692
0.903277991,302.8094789
1.230801509,420.6273754
1.021140817,325.2999371
0.3410607788,681.6570417
1.097683511,421.7364076
1.711850379,768.066205
0.4235962998,55.97587759
0.6656367222,329.3543035
1.792513433,557.7265784
1.583280144,804.6385615
1.097467579,188.9496592
1.879848746,435.538127
0.8252436817,478.5344434
0.248594447,206.5532875
1.192934151,295.9275258
0.3165725121,498.7503956
1.272860499,-50.35383914
1.619577057,439.5350612
1.750977301,961.2120476
1.90298142,616.0973781
1.146298496,233.4199
0.8522424759,184.8214166
1.063821394,547.6837518
1.493486616,180.7390825
0.0911703159,426.639947
0.7012538624,443.7296818
1.210179037,266.4046123
0.3830426441,181.0591745
1.868608228,537.8811975
1.373357223,533.4695107
0.5712531994,-85.11073713
0.4357851085,164.1816301
0.2784907422,250.8029836
1.520800135,908.7549052
0.1820726299,526.885969
0.7655682008,204.6129034
0.2543649073,788.2314645
0.954832379,229.7647612
0.722432118,449.8946506
0.5894027398,263.2278761
1.063865955,366.9827103
0.1670014334,349.1703251
1.196714969,-142.816742
1.26127059,796.5196559
1.969682398,600.8337541
0.805407442,538.5382448
1.827156023,672.4205223
0.06070761107,-104.995678
1.000395871,346.7954243
1.660405769,356.9605034
1.550819029,588.2938638
1.52457027,724.542005
0.3003380016,299.4754746
0.1307323151,365.3949092
0.3417751748,-176.0887271
0.9977913291,205.7177923
0.3777403735,56.24751969
1.31732271,72.32753294
0.2612687631,-7.548890954
0.7471325721,362.516965
0.9076931276,608.3316737
0.8946648533,419.7905266
0.7965004697,-44.84883188
0.6234221522,495.0331068
1.215089704,456.2062981
1.842915472,522.9440504
0.950341732,294.390894
1.741506901,835.1814846
1.702849915,614.3332106
0.07868708134,30.66658993
1.184986958,449.0197841
1.550469078,239.5158002
0.4554994722,66.34640936
0.7955868819,48.82930279
1.074833877,788.4434893
0.2341340329,147.9630267
1.434523752,365.6725409
1.764832737,1009.371187
1.606961861,670.7543796
1.034538113,275.5911319
1.166260438,571.2306597
1.782286227,-47.8614972
0.8549793758,270.1261608
0.7325727724,342.7665522
0.6912403378,192.3953057
0.7014236309,459.805462
1.672235406,621.9908826
0.4081287771,66.88467137
1.389940266,502.8224237
0.240756299,420.0257857
1.677796173,475.5263248
1.516080842,539.3891132
1.866385834,506.1395479
1.411171725,283.8150657
1.179668789,826.0775456
1.256413194,347.7737336
0.3224425745,364.24692
1.972828037,328.644763
0.9626883033,303.0137583
1.395980943,470.2465367
1.737809969,260.9748708
0.5004857963,-16.96915704
1.814486335,534.1328172
0.3899503998,172.985481
1.239178675,297.7648119
0.8853874039,103.4630876
1.977751424,919.2610001
1.13156311,690.2116023
1.163473295,303.5213251
1.380093777,651.877794
0.1147836874,-488.6260053
1.741594345,543.6694849
0.3656755597,253.0290375
1.878135397,341.0424264
1.080598814,65.9683426
1.896106564,420.0828976
0.215782854,631.3861849
1.213378646,436.3707085
1.379053502,630.9518891
0.6124784905,121.5564401
0.2984989395,726.9519723
0.785678153,331.7027308
1.882948475,186.6595871
1.60762909,839.1376712
1.135948595,139.5911985
1.468731353,509.7659637
1.094255285,293.0872675
1.897580995,305.588503
1.074987507,307.5006586
1.062339056,375.6571409
1.908102055,266.3445857
0.1132511148,-306.9846598
0.1317843301,157.4778847
1.501539298,416.4594984
0.2785441453,289.9662406
0.05137928974,422.873291
0.417765448,62.92344574
1.781316911,406.9621734
0.7909781524,302.2956394
0.4967525207,58.10507431
0.3255819784,618.9645193
1.832841089,390.563706
0.4894901593,79.64346474
0.8982468279,106.959114
0.38757826,188.4979196
1.864267831,512.4948264
0.2543623784,214.506281
0.4023504646,138.5095128
0.2337575212,280.5931146
0.9369224742,-100.6211442
0.5571806781,93.94526996
0.6153101747,392.7549392
1.141706051,382.7642815
0.954292752,140.6131847
0.5469490307,465.6865592
0.2076787722,74.98601344
1.29281475,252.5597656
1.771955496,345.660068
0.7046177684,456.6677885
0.8220569396,341.7291995
1.155782225,546.3444142
0.5371243349,566.6178269
0.6821327021,1134.97612
0.3042085664,180.0696692
1.099059072,342.7475041
1.185901703,344.4452662
0.8467160547,62.54242833
1.02293508,448.6102072
1.61240256,374.0916187
0.5783748926,577.1905599
1.945788779,533.5461643
0.3837346494,162.3378057
1.54367207,529.6409852
1.33897391,189.0577615
0.2189647321,246.2847752
0.255699474,-157.9845265
1.062588037,747.0068874
1.818440412,607.9544362
1.52001109,518.832406
0.7201198039,405.3793364
1.849283582,636.0472781
0.2614346472,455.0351151
0.2464949163,18.98704311
0.02134025401,27.26530977
1.969151793,944.5918169
1.704096832,598.657319
1.571616968,336.1189908
0.7830513964,181.6815648
1.488736409,311.9854268
